date,Alachua County,Baker County,Bay County,Bradford County,Brevard County,Broward County,Calhoun County,Charlotte County,Citrus County,Clay County,Collier County,Columbia County,DeSoto County,Dixie County,Duval County,Escambia County,Flagler County,Franklin County,Gadsden County,Gilchrist County,Glades County,Gulf County,Hamilton County,Hardee County,Hendry County,Hernando County,Highlands County,Hillsborough County,Holmes County,Indian River County,Jackson County,Jefferson County,Lafayette County,Lake County,Lee County,Leon County,Levy County,Liberty County,Madison County,Manatee County,Marion County,Martin County,Miami-Dade County,Monroe County,Nassau County,Okaloosa County,Okeechobee County,Orange County,Osceola County,Palm Beach County,Pasco County,Pinellas County,Polk County,Putnam County,St. Johns County,St. Lucie County,Santa Rosa County,Sarasota County,Seminole County,Sumter County,Suwannee County,Taylor County,Union County,Volusia County,Wakulla County,Walton County,Washington County
2017-09-03,4.1,4.1,8.9,4.1,8.0,9.9,15.9,9.9,9.9,4.1,14.0,4.1,9.9,9.9,9.9,17.1,6.0,11.1,11.1,9.9,8.9,7.0,7.0,18.1,14.0,9.9,18.1,5.1,,7.0,,11.1,7.0,6.0,7.0,11.1,9.9,11.1,7.0,8.9,5.1,7.0,9.9,9.9,8.0,11.1,8.9,7.0,9.9,15.9,9.9,7.0,11.1,8.9,8.9,7.0,8.0,8.9,6.0,6.0,7.0,7.0,4.1,7.0,11.1,8.9,
2017-09-04,7.0,6.0,9.9,7.0,8.0,11.1,8.0,13.0,15.9,6.0,8.0,7.0,13.0,9.9,12.0,9.9,8.9,8.0,13.0,9.9,15.9,6.0,8.9,12.0,8.0,15.9,12.0,8.0,,9.9,,13.0,8.9,11.1,14.0,13.0,9.9,8.0,8.9,8.9,8.9,8.0,13.0,13.0,9.9,7.0,15.9,11.1,8.9,9.9,15.9,9.9,15.9,8.9,8.9,9.9,11.1,8.9,12.0,11.1,8.9,8.9,7.0,15.0,13.0,9.9,
2017-09-05,7.0,6.0,9.9,7.0,9.9,13.0,9.9,20.0,7.0,6.0,19.0,7.0,20.0,9.9,9.9,11.1,9.9,8.0,9.9,9.9,8.9,8.9,8.9,19.0,19.0,7.0,19.0,4.1,,8.0,,9.9,8.9,8.0,18.1,9.9,9.9,8.0,8.9,8.9,4.1,6.0,13.0,13.0,8.0,6.0,8.9,15.0,20.0,11.1,7.0,9.9,6.0,11.1,11.1,8.0,6.0,8.9,12.0,8.0,8.9,8.9,7.0,9.9,9.9,9.9,
2017-09-06,11.1,7.0,11.1,11.1,9.9,14.0,22.0,8.9,9.9,7.0,13.0,11.1,8.9,8.0,8.9,12.0,8.9,8.0,13.0,8.0,7.0,14.0,12.0,11.1,13.0,9.9,11.1,7.0,,14.0,,13.0,12.0,13.0,11.1,13.0,8.0,8.0,12.0,9.9,9.9,14.0,14.0,14.0,9.9,8.9,7.0,8.0,15.0,12.0,9.9,9.9,14.0,9.9,9.9,14.0,12.0,9.9,12.0,13.0,12.0,12.0,11.1,7.0,13.0,11.1,
2017-09-07,8.9,9.9,12.0,8.9,9.9,13.0,11.1,20.0,9.9,9.9,20.0,8.9,20.0,11.1,12.0,8.9,13.0,8.9,8.0,11.1,11.1,13.0,8.9,17.1,20.0,9.9,17.1,9.9,5.1,9.9,5.1,8.0,8.9,13.0,13.0,8.0,11.1,8.9,8.9,8.9,8.9,14.0,12.0,12.0,11.1,8.0,11.1,13.0,17.1,11.1,9.9,9.9,13.0,12.0,12.0,9.9,9.9,8.9,12.0,13.0,8.9,8.9,8.9,9.9,8.0,11.1,5.1
2017-09-08,14.0,15.0,9.9,14.0,14.0,17.1,8.0,22.0,17.1,15.0,25.1,14.0,22.0,12.0,17.1,9.9,22.0,11.1,11.1,12.0,12.0,11.1,11.1,14.0,25.1,17.1,14.0,13.0,5.1,14.0,5.1,11.1,11.1,19.0,17.1,11.1,12.0,11.1,11.1,20.0,13.0,12.0,15.0,15.0,15.9,8.0,12.0,15.9,13.0,17.1,17.1,20.0,13.0,18.1,18.1,14.0,8.9,20.0,18.1,19.0,11.1,11.1,14.0,13.0,11.1,9.9,5.1
2017-09-09,15.9,13.0,17.1,15.9,20.0,24.1,12.0,22.9,20.0,13.0,20.0,15.9,22.9,19.0,22.9,11.1,21.0,13.0,15.0,19.0,20.0,15.9,14.0,20.0,20.0,20.0,20.0,17.1,,15.9,,15.0,14.0,19.0,20.0,15.0,19.0,13.0,14.0,18.1,14.0,17.1,29.9,29.9,21.0,12.0,20.0,19.0,20.0,22.9,20.0,18.1,15.0,22.9,22.9,15.9,15.0,18.1,18.1,19.0,14.0,14.0,15.9,25.1,15.0,15.0,
2017-09-10,20.0,14.0,22.9,20.0,28.9,49.0,18.1,44.1,22.0,14.0,63.9,20.0,44.1,25.1,28.9,15.9,35.0,17.1,17.1,25.1,28.9,22.9,18.1,45.1,63.9,22.0,45.1,19.0,20.0,49.9,20.0,17.1,18.1,28.0,49.9,17.1,25.1,17.1,18.1,40.0,18.1,22.0,42.9,42.9,25.1,15.9,28.9,36.9,49.9,51.1,22.0,33.0,33.0,44.1,44.1,49.9,25.1,40.0,42.0,28.0,18.1,18.1,20.0,25.1,17.1,24.1,20.0
2017-09-11,35.0,24.1,24.1,35.0,41.0,17.1,28.9,40.0,33.0,24.1,39.0,35.0,40.0,35.9,42.9,21.0,44.1,22.9,29.9,35.9,40.0,27.0,20.0,54.0,39.0,33.0,54.0,27.0,18.1,48.0,18.1,29.9,20.0,36.9,19.0,29.9,35.9,22.9,20.0,42.0,32.1,19.0,21.0,21.0,42.9,21.0,40.0,44.1,49.0,42.0,33.0,42.9,36.9,45.1,45.1,48.0,20.0,42.0,44.1,36.9,20.0,20.0,35.0,35.0,29.9,24.1,18.1
2017-09-12,14.0,12.0,18.1,14.0,12.0,8.0,18.1,11.1,18.1,12.0,11.1,14.0,11.1,13.0,20.0,15.0,11.1,12.0,14.0,13.0,11.1,9.9,,8.9,11.1,18.1,8.9,6.0,8.0,8.9,8.0,14.0,,11.1,9.9,14.0,13.0,12.0,,15.0,13.0,12.0,9.9,9.9,15.9,15.0,11.1,13.0,14.0,9.9,18.1,12.0,,14.0,14.0,8.9,12.0,15.0,15.9,11.1,,,14.0,,14.0,17.1,8.0
